,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,passengerGroup,groupsize,deck,cabin_num,Side,last_name,first_name
0,0013_01,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,0013,1,G,3,S,Carsoning,Nelly
1,0018_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,9.0,0.0,2823.0,0.0,0018,1,F,4,S,Peckers,Lerome
2,0019_01,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,0019,1,C,0,S,Unhearfus,Sabih
3,0021_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,0021,1,C,1,S,Caltilter,Meratz
4,0023_01,Earth,False,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,0023,1,F,5,S,Harperez,Brence
5,0027_01,Earth,False,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,0027,1,F,7,P,Ricks,Karlen
6,0029_01,Europa,True,55 Cancri e,21.0,False,0.0,,0.0,0.0,0.0,0029,1,B,2,P,Ainserfle,Aldah
7,0032_01,Europa,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,0032,2,D,0,S,Pringry,Acrabi
8,0032_02,Europa,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,0032,2,D,0,S,Pringry,Dhena
9,0033_01,Earth,False,55 Cancri e,24.0,False,0.0,639.0,0.0,0.0,0.0,0033,1,F,7,S,Delazarson,Eliana
10,0037_01,Earth,False,TRAPPIST-1e,19.0,False,339.0,3.0,136.0,237.0,0.0,0037,1,F,9,S,Rickson,Vivia
11,0040_01,Europa,False,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,0040,2,D,2,P,Pinoffent,Antino
12,0040_02,Europa,False,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,0040,2,D,2,P,Pinoffent,Jihda
13,0042_01,Mars,True,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,0042,1,E,0,P,Frité,Hamus
14,0046_01,Earth,False,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,0046,3,G,4,P,Powery,Neilda
15,0046_02,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,0046,3,F,11,P,Powery,Glene
16,0046_03,Earth,False,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,0046,3,F,11,P,Powery,Joanny
17,0047_01,Europa,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,0047,3,B,0,S,Prucerod,Winonon
18,0047_02,Europa,False,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,0047,3,,,,Prucerod,Muons
19,0047_03,Europa,False,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,0047,3,B,0,S,,
20,0048_01,Earth,False,TRAPPIST-1e,30.0,False,0.0,878.0,26.0,3.0,0.0,0048,1,G,5,S,Deckerry,Tyle
21,0049_01,Earth,False,TRAPPIST-1e,14.0,False,,0.0,0.0,1609.0,0.0,0049,1,E,1,P,Flynney,Doria
22,0054_01,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,0054,3,B,4,P,Viouster,Algedia
23,0054_02,Europa,False,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,0054,3,B,4,P,Viouster,Alteron
24,0054_03,Europa,False,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,0054,3,B,4,P,Viouster,Winon
25,0055_01,Earth,False,TRAPPIST-1e,24.0,False,1784.0,8.0,18.0,18.0,0.0,0055,1,G,5,P,Frederry,Brence
26,0057_01,Europa,False,55 Cancri e,19.0,False,293.0,3495.0,5273.0,118.0,422.0,0057,1,C,1,P,Windend,Gatrin
27,0059_01,Earth,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,0059,1,E,2,P,Carvis,Janne
28,0060_01,Earth,False,TRAPPIST-1e,21.0,False,0.0,619.0,12.0,3.0,0.0,0060,1,F,12,P,Ashipeck,Fanna
29,0063_01,Earth,True,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,0063,1,G,8,S,Daughessey,Elene
